FPR	TPR	Tissue	Treshold
0.703030	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000001
0.937879	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.380303	0.963636	Brain_-_Putamen_(Basal_Ganglia)	0.000395
0.531818	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000060
0.454545	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000185
0.021212	0.345455	Brain_-_Putamen_(Basal_Ganglia)	0.008117
0.193939	0.854545	Brain_-_Putamen_(Basal_Ganglia)	0.001569
0.421212	0.981818	Brain_-_Putamen_(Basal_Ganglia)	0.000280
0.915152	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.295455	0.927273	Brain_-_Putamen_(Basal_Ganglia)	0.000754
0.724242	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000001
0.075758	0.672727	Brain_-_Putamen_(Basal_Ganglia)	0.004161
0.725758	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000001
0.325758	0.945455	Brain_-_Putamen_(Basal_Ganglia)	0.000605
0.943939	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.933333	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.154545	0.818182	Brain_-_Putamen_(Basal_Ganglia)	0.002114
0.431818	0.981818	Brain_-_Putamen_(Basal_Ganglia)	0.000248
0.354545	0.963636	Brain_-_Putamen_(Basal_Ganglia)	0.000446
0.948485	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.383333	0.963636	Brain_-_Putamen_(Basal_Ganglia)	0.000392
0.228788	0.909091	Brain_-_Putamen_(Basal_Ganglia)	0.001186
0.062121	0.563636	Brain_-_Putamen_(Basal_Ganglia)	0.005118
0.636364	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000011
0.871212	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.166667	0.818182	Brain_-_Putamen_(Basal_Ganglia)	0.001986
0.593939	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000024
0.207576	0.872727	Brain_-_Putamen_(Basal_Ganglia)	0.001437
0.896970	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.350000	0.945455	Brain_-_Putamen_(Basal_Ganglia)	0.000471
0.090909	0.709091	Brain_-_Putamen_(Basal_Ganglia)	0.003486
0.471212	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000136
0.116667	0.781818	Brain_-_Putamen_(Basal_Ganglia)	0.002958
0.203030	0.854545	Brain_-_Putamen_(Basal_Ganglia)	0.001451
0.606061	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000019
0.015152	0.327273	Brain_-_Putamen_(Basal_Ganglia)	0.008690
0.031818	0.400000	Brain_-_Putamen_(Basal_Ganglia)	0.007449
0.068182	0.600000	Brain_-_Putamen_(Basal_Ganglia)	0.004905
0.916667	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.136364	0.818182	Brain_-_Putamen_(Basal_Ganglia)	0.002470
0.304545	0.927273	Brain_-_Putamen_(Basal_Ganglia)	0.000709
0.001515	0.127273	Brain_-_Putamen_(Basal_Ganglia)	0.012573
0.422727	0.981818	Brain_-_Putamen_(Basal_Ganglia)	0.000276
0.463636	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000154
0.400000	0.963636	Brain_-_Putamen_(Basal_Ganglia)	0.000333
0.060606	0.563636	Brain_-_Putamen_(Basal_Ganglia)	0.005142
0.469697	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000141
0.742424	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.130303	0.818182	Brain_-_Putamen_(Basal_Ganglia)	0.002581
0.757576	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.345455	0.945455	Brain_-_Putamen_(Basal_Ganglia)	0.000488
0.521212	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000074
0.184848	0.854545	Brain_-_Putamen_(Basal_Ganglia)	0.001675
0.783333	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.698485	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000001
0.363636	0.963636	Brain_-_Putamen_(Basal_Ganglia)	0.000424
0.503030	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000093
0.322727	0.945455	Brain_-_Putamen_(Basal_Ganglia)	0.000616
0.124242	0.800000	Brain_-_Putamen_(Basal_Ganglia)	0.002655
