FPR	TPR	Tissue	Treshold
0.000000	0.670455	Heart_-_Atrial_Appendage	0.010574
0.838636	1.000000	Heart_-_Atrial_Appendage	0.000000
0.845455	1.000000	Heart_-_Atrial_Appendage	0.000000
0.834091	1.000000	Heart_-_Atrial_Appendage	0.000000
0.831818	1.000000	Heart_-_Atrial_Appendage	0.000000
0.850000	1.000000	Heart_-_Atrial_Appendage	0.000000
0.827273	1.000000	Heart_-_Atrial_Appendage	0.000000
0.822727	1.000000	Heart_-_Atrial_Appendage	0.000000
0.052273	0.954545	Heart_-_Atrial_Appendage	0.001600
0.829545	1.000000	Heart_-_Atrial_Appendage	0.000000
0.825000	1.000000	Heart_-_Atrial_Appendage	0.000000
0.615909	1.000000	Heart_-_Atrial_Appendage	0.000000
0.625000	1.000000	Heart_-_Atrial_Appendage	0.000000
0.820455	1.000000	Heart_-_Atrial_Appendage	0.000000
0.818182	1.000000	Heart_-_Atrial_Appendage	0.000000
0.000000	0.465909	Heart_-_Atrial_Appendage	0.011086
0.002273	0.761364	Heart_-_Atrial_Appendage	0.009984
0.815909	1.000000	Heart_-_Atrial_Appendage	0.000000
0.695455	1.000000	Heart_-_Atrial_Appendage	0.000000
0.000000	0.625000	Heart_-_Atrial_Appendage	0.010732
0.000000	0.329545	Heart_-_Atrial_Appendage	0.011184
0.527273	1.000000	Heart_-_Atrial_Appendage	0.000000
0.813636	1.000000	Heart_-_Atrial_Appendage	0.000000
0.811364	1.000000	Heart_-_Atrial_Appendage	0.000000
0.622727	1.000000	Heart_-_Atrial_Appendage	0.000000
0.231818	0.988636	Heart_-_Atrial_Appendage	0.000000
0.809091	1.000000	Heart_-_Atrial_Appendage	0.000000
0.656818	1.000000	Heart_-_Atrial_Appendage	0.000000
0.740909	1.000000	Heart_-_Atrial_Appendage	0.000000
0.138636	0.977273	Heart_-_Atrial_Appendage	0.000059
0.806818	1.000000	Heart_-_Atrial_Appendage	0.000000
0.181818	0.977273	Heart_-_Atrial_Appendage	0.000011
0.386364	0.988636	Heart_-_Atrial_Appendage	0.000000
0.388636	0.988636	Heart_-_Atrial_Appendage	0.000000
0.804545	1.000000	Heart_-_Atrial_Appendage	0.000000
0.802273	1.000000	Heart_-_Atrial_Appendage	0.000000
0.500000	1.000000	Heart_-_Atrial_Appendage	0.000000
0.281818	0.988636	Heart_-_Atrial_Appendage	0.000000
0.311364	0.988636	Heart_-_Atrial_Appendage	0.000000
0.693182	1.000000	Heart_-_Atrial_Appendage	0.000000
0.931818	1.000000	Heart_-_Atrial_Appendage	0.000000
0.518182	1.000000	Heart_-_Atrial_Appendage	0.000000
0.706818	1.000000	Heart_-_Atrial_Appendage	0.000000
0.945455	1.000000	Heart_-_Atrial_Appendage	0.000000
0.800000	1.000000	Heart_-_Atrial_Appendage	0.000000
0.509091	1.000000	Heart_-_Atrial_Appendage	0.000000
0.031818	0.931818	Heart_-_Atrial_Appendage	0.004258
0.604545	1.000000	Heart_-_Atrial_Appendage	0.000000
0.425000	1.000000	Heart_-_Atrial_Appendage	0.000000
0.086364	0.977273	Heart_-_Atrial_Appendage	0.000502
0.722727	1.000000	Heart_-_Atrial_Appendage	0.000000
0.000000	0.613636	Heart_-_Atrial_Appendage	0.010807
0.418182	1.000000	Heart_-_Atrial_Appendage	0.000000
0.445455	1.000000	Heart_-_Atrial_Appendage	0.000000
0.075000	0.977273	Heart_-_Atrial_Appendage	0.000831
0.947727	1.000000	Heart_-_Atrial_Appendage	0.000000
0.268182	0.988636	Heart_-_Atrial_Appendage	0.000000
0.184091	0.977273	Heart_-_Atrial_Appendage	0.000008
0.013636	0.897727	Heart_-_Atrial_Appendage	0.006944
0.584091	1.000000	Heart_-_Atrial_Appendage	0.000000
0.797727	1.000000	Heart_-_Atrial_Appendage	0.000000
0.672727	1.000000	Heart_-_Atrial_Appendage	0.000000
0.000000	0.409091	Heart_-_Atrial_Appendage	0.011124
0.195455	0.977273	Heart_-_Atrial_Appendage	0.000002
0.036364	0.943182	Heart_-_Atrial_Appendage	0.003077
